الدوري,الفريق الأول,الفريق الثاني,الوقت,نوع المباراة,تاريخ المباراة,النتيجة
الدوري الإنجليزي,فولهام,تشيلسي,15:00,الأسبوع الثالث والثلاثون,20 أبريل 2025,1-2
الدوري الإسباني,بلد الوليد,أوساسونا,14:00,الأسبوع الثاني والثلاثون,20 أبريل 2025,2-3
الدوري الفرنسي,ليل,اوكسير,15:00,الأسبوع الثلاثون,20 أبريل 2025,3-1
الكونفيدرالية الأفريقية,سيمبا,ستيلينبوش,15:00,ذهاب نصف النهائي,20 أبريل 2025,1-0
بطولة أفريقيا للأندية للكرة الطائرة,الأهلي,الفتح الرياضي,12:00,اليوم الثاني,20 أبريل 2025,3-0
الدوري الألماني,أوجسبورج,آ. فرانكفورت,15:30,الأسبوع الثلاثون,20 أبريل 2025,0-0
دوري القسم الثاني-أ,الداخلية,السكة الحديد مودرن,15:30,الأسبوع الحادي والثلاثون,20 أبريل 2025,1-0
الدوري الإيطالي,إمبولي,فينيزيا,15:00,الأسبوع الثالث والثلاثون,20 أبريل 2025,2-2
الدوري التركي,إسطنبول باشاكشهير,غازي عنتاب بي.بي.كي,12:30,الأسبوع الثاني والثلاثون,20 أبريل 2025,2-1
الدوري التونسي,الإتحاد المنستيري,سليمان الرياضي,15:30,الأسبوع السابع والعشرون,20 أبريل 2025,3-0
الدوري الإنجليزي,توتنهام هوتسبر,نوتينجهام فورست,21:00,الأسبوع الثالث والثلاثون,21 أبريل 2025,1-2
الدوري الإسباني,جيرونا,ريال بيتيس,21:00,الأسبوع الثاني والثلاثون,21 أبريل 2025,1-3
بطولة أفريقيا للأندية للكرة الطائرة,نادي إيمانويل,ليتو,10:00,اليوم الثالث,21 أبريل 2025,0-3
دوري القسم الثاني-أ,الترسانة,بروكسي,15:30,الأسبوع الحادي والثلاثون,21 أبريل 2025,1-2
الدوري السعودي,الهلال,الشباب,17:55,الأسبوع التاسع والعشرون,21 أبريل 2025,2-2
الدوري التركي,ألانيا سبور,سامسون سبور,19:00,الأسبوع الثاني والثلاثون,21 أبريل 2025,1-0
كأس رابطة الأندية,إنبي,حرس الحدود,19:00,ذهاب دور ال8,22 أبريل 2025,2-0
الدوري الإنجليزي,مانشستر سيتي,أستون فيلا,21:00,الأسبوع الرابع والثلاثون,22 أبريل 2025,2-1
الدوري الإسباني,فالنسيا,اسبانيول,19:00,الأسبوع الثالث والثلاثون,22 أبريل 2025,1-1
الدوري الفرنسي,نانت,باريس سان جيرمان,20:45,الأسبوع التاسع والعشرون,22 أبريل 2025,1-1
بطولة أفريقيا للأندية للكرة الطائرة,نادي الجيش الرواندي,نادي إيمانويل,10:00,اليوم الرابع,22 أبريل 2025,3-0
الدوري السعودي,ضمك,النصر,18:05,الأسبوع التاسع والعشرون,22 أبريل 2025,2-3
الدوري الإماراتي,العروبة,الوحـــدة,15:55,الأسبوع الثاني والعشرون,22 أبريل 2025,1-1
كأس رابطة الأندية,الإسماعيلي,طلائع الجيش,17:00,ذهاب دور ال8,23 أبريل 2025,0-0
الدوري الإنجليزي,أرسنال,كريستال بالاس,21:00,الأسبوع الرابع والثلاثون,23 أبريل 2025,2-2
الدوري الإسباني,أتلتيك بلباو,لاس بالماس,19:00,الأسبوع الثالث والثلاثون,23 أبريل 2025,1-0
بطولة أفريقيا للأندية للكرة الطائرة,نيموستارز,الخدمات العامة,13:00,اليوم الخامس,23 أبريل 2025,2-3
الدوري الإيطالي,تورينو,أودينيزي,18:30,الأسبوع الثالث والثلاثون,23 أبريل 2025,2-0
كأس إيطاليا,إنتر ميلان,ميلان,21:00,عودة نصف النهائي,23 أبريل 2025,0-3
الدوري السعودي,الرياض,الفتح,17:55,الأسبوع التاسع والعشرون,23 أبريل 2025,2-2
الدوري المغربي,الجيش الملكي,الشباب الرياضي السالمي,21:00,الأسبوع السابع والعشرون,23 أبريل 2025,2-0
الدوري الإماراتي,الجــزيرة,اتحاد كلباء,15:55,الأسبوع الثاني والعشرون,23 أبريل 2025,1-2
الدوري التونسي,قوافل قفصة,النجم الساحلى,16:00,الأسبوع الثالث عشر,23 أبريل 2025,2-3
كأس رابطة الأندية,سيراميكا كليوباترا,بتروجيت,19:00,ذهاب دور ال8,24 أبريل 2025,4-1
الدوري الإسباني,أوساسونا,اشبيلية,19:00,الأسبوع الثالث والثلاثون,24 أبريل 2025,1-0
بطولة أفريقيا للأندية للكرة الطائرة,الاتحاد - ليبيا,السجون,13:00,اليوم السادس,24 أبريل 2025,3-1
كأس إيطاليا,بولونيا,إمبولي,21:00,عودة نصف النهائي,24 أبريل 2025,2-1
الدوري السعودي,العروبة,الفيحاء,18:30,الأسبوع التاسع والعشرون,24 أبريل 2025,2-2
دوري أبطال أفريقيا,الأهلي,ماميلودي صنداونز,19:00,عودة نصف النهائي,25 أبريل 2025,1-1
الدوري الفرنسي,باريس سان جيرمان,نيس,21:45,الأسبوع الحادي والثلاثون,25 أبريل 2025,1-3
الدوري الألماني,شتوتجارت,هايدنهايم,21:30,الأسبوع الحادي والثلاثون,25 أبريل 2025,0-1
دوري القسم الثاني-أ,كهرباء الإسماعيلية,الداخلية,16:30,الأسبوع الثاني والثلاثون,25 أبريل 2025,1-0
دوري أبطال آسيا للنخبة,الهلال,نادي غوانغجو,19:30,ربع النهائي,25 أبريل 2025,7-0
الدوري التركي,بشكتاش,هاتاي سبور,20:00,الأسبوع الثالث والثلاثون,25 أبريل 2025,5-1
الدوري البرتغالي,فاماليكاو,سبورتينج براجا,22:30,الأسبوع الحادي والثلاثون,25 أبريل 2025,1-1
الدوري الإنجليزي,تشيلسي,ايفرتون,14:30,الأسبوع الرابع والثلاثون,26 أبريل 2025,1-0
كأس الاتحاد الإنجليزي,كريستال بالاس,أستون فيلا,19:15,نصف النهائي,26 أبريل 2025,3-0
